Capability,Phase,Microsoft Sentinel,Microsoft Entra,Okta,Guardicore,Microsoft Purview,Zscaler Internet Access (ZIA),Wiz.io,Cisco Firewall (ASA/NGFW),Palo Alto Firewall,Rapid7 InsightVM,SentinelOne,Microsoft DNS,Proofpoint
Establish Ability to Block Transferred Data by Content Pattern (C1122),Preparation,,,,,,,,,,,,,
Establish Ability to List Services Deleted (C1508),Preparation,x,,,,,,,,,,,,
Establish an Asset Knowledge Base (C1011),Preparation,x,,,,,,,,,,,,
Establish Ability to Block Processes by Path (C1407),Preparation,x,,,,,,,,,,,,
Establish Ability to Find Processes by Content Pattern (C1406),Preparation,x,,,,,,,,,,,,
Access External Packet Capture Data (C1109),Preparation,x,x,,x,x,x,x,x,x,x,x,,
Establish Ability to Quarantine File by Format (C1314),Preparation,,,,,,,,,,,,,
Establish Ability to Collect Email Messages (C1207),Preparation,x,,,,,,,,,,,,
Establish Ability to Analyze Microsoft Office File (C1321),Preparation,x,,,,,,,,,,,,
Establish Ability to Analyze User Agent (C1202),Preparation,x,,,,,,,,,,,,
Access VPN Logs (C1107),Preparation,x,,,,,,,,,,,,
Establish Ability to List Authenticated Users (C1603),Preparation,,,,,,,,,,,,,
Establish Ability to Block Internal Domains (C1114),Preparation,x,,,,,,,,,,,x,
Establish Ability to Block Internal Ports (C1118),Preparation,x,,,,,,,,,,,,
Establish Ability to Collect File (C1311),Preparation,x,,,,,,,,,,,,
Validate Analyst Toolset (C1012),Preparation,x,,,,,,,,,,,,
Establish Ability to Block Processes by Format (C1410),Preparation,x,,,,,,,,,,,,
Establish Ability to List Registry Keys Modified (C1502),Preparation,x,,,,,,,,,,,,
Establish Ability to Find File by Metadata (C1308),Preparation,x,,,,,,,,,,,,
Connect with Trusted Communities (C1014),Preparation,x,,,,,,,,,,,,
Establish Ability to Analyze Registry Key (C1512),Preparation,x,,,,,,,,,,,,
Establish Ability to List Files Downloaded (C1304),Preparation,x,,,,,,,,,,,,
Establish Ability to Find Processes by Metadata (C1403),Preparation,x,,,,,,,,,,,,
Establish Ability to Analyze Scripts (C1323),Preparation,x,,,,,,,,,,,,
Access Internal DNS Logs (C1105),Preparation,x,,,,,,,x,x,,x,x,
Establish Ability to List User Accounts (C1606),Preparation,,,,,,,,,,,,,
Establish Ability to Block Email Sender (C1204),Preparation,,,,,,,,,,,,,
Establish Ability to Collect Data Transferred (C1124),Preparation,x,,,,,,,,,,,,
Establish Ability to Quarantine Email Message (C1206),Preparation,x,,,,,,,,,,,,
Personnel Reporting of Suspicious Activity (C1004),Preparation,x,,,,,,,,,,,,
Establish Ability to Block Email Domain (C1203),Preparation,,,,,,,,,,,,x,
Establish Ability to Analyze Email Addresses (C1208),Preparation,x,,,,,,,,,,,,
Establish Ability to Find Processes by Hash (C1404),Preparation,x,,,,,,,,,,,,
Establish Ability to Analyze PDF File (C1322),Preparation,x,,,,,,,,,,,,
Establish Relevant Data Collection (C1005),Preparation,x,,,,,,,,,,,,
Establish Ability to Remove File (C1316),Preparation,,,,,,,,,,,,,
Establish Ability to Find Processes by Fromat (C1405),Preparation,x,,,,,,,,,,,,
Access DHCP Logs (C1108),Preparation,x,,,,,,,,,,,,
Establish ability to Manage Identity Management System (C1601),Preparation,,,,,,,,,,,,,
Establish Ability to List Files Deleted (C1303),Preparation,x,,,,,,,,,,,,
Practice (C1001),Preparation,x,,,,,,,,,,,,
Access External HTTP Logs (C1104),Preparation,x,,,,,x,,x,x,,x,,
Establish Access to Network/Architecture Diagrams (C1009),Preparation,x,,,,,,,,,,,,
Access Internal Flow Logs (C1102),Preparation,x,,,,,,,x,x,,,,
Establish Ability to List Files with Modified Timestamps (C1305),Preparation,x,,,,,,,,,,,,
Establish Ability to List Users' Email Interaction (C1201),Preparation,x,,,,,,,,,,,,
Establish Ability to Find File by Path (C1306),Preparation,,,,,,,,,,,,,
Personnel Awareness (C1003),Preparation,x,,,,,,,,,,,,
Ensure Backup Integrity (C1008),Preparation,x,,,,,,,,,,,,
Establish Ability to List Services Created (C1506),Preparation,,,,,,,,,,,,,
Establish Ability to Quarantine File by Path (C1312),Preparation,,,,,,,,,,,,,
List Hosts Connected to Intranet (C2109),Identification,x,,,,,,,,,,x,,
Place Compromised Accounts on Watchlist (C2003),Identification,x,,,,,,,,,,,,
List Hosts Communicating with Internal IP (C2102),Identification,x,,,,,,,,,,x,,
List Alert Victims (C2001),Identification,x,,,,,,,,,,x,,
List Hosts Connected to VPN (C2108),Identification,x,,,,,,,,,,x,,
Analyze Domain Name (C2104),Identification,x,,,,,,,,,,,,
List Hosts Communicating with Internal Domain (C2101),Identification,x,,,,,,,,,,x,,
List Hosts Communicating with Internal URL (C2103),Identification,x,,,,,,,,,,,,
List Hosts Communicating by Port (C2107),Identification,x,,,,,,,,,,,,
List Hosts Communicating with External IP (C2114),Identification,x,,,,,,,,,,,,
Collect Transferred Data (C2111),Identification,x,,,,,,,,,,,,
List Registry Key Modifications (C2501),Identification,x,,,,,,,,,,x,,
Identify Transferred Data (C2112),Identification,x,,,,,,,,,,,,
Analyze IP Communication (C2105),Identification,x,,,,,,,,,,,,
List Hosts Communicating with External Domain (C2113),Identification,x,,,,,x,,,,,x,,
Find Data Transferred by Content Pattern (C2116),Identification,x,,,,,,,,,,,,
List Hosts Communicating with External URL (C2115),Identification,x,,,,,,,,,,,,
List Data Transferred (C2110),Identification,x,,,,,,,,,,x,,
List Host Vulnerabilities (C2002),Identification,,,,,,,x,,,x,x,,
Analyze URI Communication (C2106),Identification,x,,,,,,,,,,,,
Block Port External Communication (C3107),Containment,x,,,x,,x,,x,x,,x,,
Block Process by Metadata (C3402),Containment,x,,,,,,,,,,,,
Block Internal Domain (C3104),Containment,x,,,,,,,,,,,x,
Block Internal IP Address (C3102),Containment,x,,,x,,,,x,x,,x,,
Lock User Account (C3601),Containment,x,,,,,,,,,,,,
Block Port Internal Communication (C3108),Containment,x,,,x,,,,x,x,,x,,
Block Email Sender (C3203),Containment,x,,,,,,,,,,,,
Quarantine File by Format (C3301),Containment,x,,,,,,,,,,,,
Patch Vulnerability (C3001),Containment,,,,,,,,,,,,,
Block Internal URL (C3106),Containment,x,,,,,,,,,,,,
Block External URL (C3105),Containment,x,,,,,x,,,,,,,
Block User External Communication (C3109),Containment,x,,,,,,,,,,,,
Block Data Transfer by Content Pattern (C3111),Containment,,,,,,,,,,,,,
Block Access to IO Port (C3502),Containment,,,,,,,,,,,,,
Quarantine File by Content Pattern (C3304),Containment,x,,,,,,,,,,,,
Block Process by Path (C3401),Containment,x,,,,,,,,,,,,
Remove User Permission (C3602),Containment,x,,,,,,,,,,,,
Block Process by Hash (C3404),Containment,,,,,,,,,,,,,
Block Email Sender (C3202),Containment,,,,,,,,,,,,,
Quarantine File by Path (C3303),Containment,x,,,,,,,,,,,,
Block External IP Address (C3101),Containment,x,,,x,,x,,x,x,,x,,
Block Email Domain (C3201),Containment,,,,,,,,,,,,x,
Disable System Service (C3501),Containment,x,,,,,,,,,,,,
Block Process by Content Pattern (C3405),Containment,x,,,,,,,,,,,,
Block User Internal Communication (C3110),Containment,x,,,,,,,,,,,,
Block External Domain (C3103),Containment,x,,,,,x,,,,,,x,
Quarantine File by Hash (C3302),Containment,x,,,,,,,,,,,,
Remove Registry Key (C4501),Eradication,x,,,,,,,,,,x,,
Report Incident to External Entity (C4001),Eradication,x,,,,,,,,,,,,
Remove Service (C4502),Eradication,x,,,,,,,,,,,,
Delete Email Message (C4201),Eradication,x,,,,,,,,,,,,
Remove Rogue Network Device (C4101),Eradication,x,,,,,,,,,,,,
Remove User Account (C4602),Eradication,x,,x,,,,,,,,,,
Revoke Authentication Credentials (C4601),Eradication,x,,x,,,,,,,,,,
Remove File (C4301),Eradication,x,,,,,,,,,,x,,
Reinstall Host from Golden Image (C5001),Recovery,,,,,,,,,,,,,
Unblock Sender on Email (C5202),Recovery,x,,,,,,,,,,,,x
Restore Quarantined File (C5301),Recovery,,,,,,,,,,,,,
Unblock Blocked IP (C5101),Recovery,x,,,,,x,,,,,,,
Restore Data from Backup (C5002),Recovery,,,,,,,,,,,,,
Unblock Blocked URL (C5103),Recovery,x,,,,,x,,,,,,,
Unlock Locked User Account (C5601),Recovery,x,,x,,,,,,,,,,
Enable Disabled Service (C5501),Recovery,,,,,,,,,,,,,
Unblock Domain on Email (C5201),Recovery,x,,,,,,,,,,,x,x
Unblock Blocked Port (C5104),Recovery,x,,,,,x,,,,,,,
Unblock Blocked Process (C5401),Recovery,x,,,,,,,,,,,,
Unblock Blocked Domain (C5102),Recovery,x,,,,,x,,,,,,x,
Unblock Blocked Port (C5105),Recovery,x,,,,,,,,,,,,
Restore Quarantined Email Message (C5203),Recovery,,,,,,,,,,,,,x
Conduct Lessons Learned Exercise (C6002),Lessons-learned,x,,,,,,,,,,,,
Develop Incident Report (C6001),Lessons-learned,x,,,,,,,,,,,,
Define Key Performance Indicators (KPIs) (C7001),Operations,x,,,,,,,,,,,,
Maintain a Risk Register (C7002),Operations,,,,,,,,,,,,,
Maintain Leadership Reporting and Awareness (C7004),Operations,x,,,,,,,,,,,,
Maintain a Team Knowledge Base (C7003),Operations,x,,,,,,,,,,,,
